,perp_sex,latitude,arrest_precinct,age_group,law_code,arrest_boro,longitude,ofns_desc,perp_race,law_cat_cd,geometry,arrest_zipcode,ofns_cat,near_school,severe,Zipcode,Zip Radius,Population,Population Density,Land Area,Water Area,Zip Home Value,Zip Income
3241,M,40.75099078,14,25-44,PL 1552500,M,-73.99062326,PETIT LARCENY,BLACK,M,POINT (986848.00161662 212882.99878001094),10098,Larceny,False,False,10098,,,,,,,
3242,M,40.683291,78,25-44,PL 1552500,K,-73.974852,PETIT LARCENY,WHITE HISPANIC,M,POINT (991224.8058264976 188218.760954448),11217,Larceny,False,False,11217,0.9090909090909091,35881.0,47796.0,0.75,0.0,857000.0,81862.0
3243,M,40.60113872,101,25-44,PL 215510B,Q,-73.75966508,MISCELLANEOUS PENAL LAW,BLACK,F,POINT (1050989.0018458355 158378.9990024139),11691,Miscellaneous,False,True,11691,2.0,60035.0,21185.0,2.83,0.03,448200.0,39409.0
3244,M,40.628508,63,45-64,PL 1553001,K,-73.941384,GRAND LARCENY,BLACK,F,POINT (1000520.5209336526 168264.23367533574),11210,Larceny,False,True,11210,1.0,62008.0,37785.0,1.64,0.0,485500.0,55429.0
3245,M,40.812511,41,25-44,PL 1451200,B,-73.902811,CRIMINAL MISCHIEF & RELATED OF,BLACK,F,POINT (1011153.1609331816 235311.68885354136),10455,,False,True,10455,0.9090909090909091,39665.0,55696.0,0.71,0.0,318600.0,22609.0
3246,M,40.675967,77,25-44,PL 1402000,K,-73.963023,BURGLARY,BLACK,F,POINT (994506.7089636144 185551.58036885905),11238,Burglary,False,True,11238,1.0,49262.0,44555.0,1.11,0.0,656800.0,65315.0
3247,M,40.762037,109,18-24,PL 1600500,Q,-73.827328,ROBBERY,ASIAN / PACIFIC ISLANDER,F,POINT (1032084.0509459516 216954.50266756295),11354,Robbery,False,True,11354,2.0,54878.0,25324.0,2.17,0.03,380600.0,46566.0
3248,M,40.669339,71,<18,PL 1601001,K,-73.95845,ROBBERY,BLACK,F,POINT (995776.3165611884 183137.37988533455),11238,Robbery,False,True,11238,1.0,49262.0,44555.0,1.11,0.0,656800.0,65315.0
3249,M,40.823378,43,<18,PL 1601503,B,-73.870168,ROBBERY,BLACK HISPANIC,F,POINT (1020183.2877802552 239282.63311857087),10472,Robbery,False,True,10472,1.0,66358.0,63167.0,1.05,0.0,429600.0,30288.0
3250,M,40.874312,47,25-44,PL 1553001,B,-73.870345,GRAND LARCENY,BLACK,F,POINT (1020106.8329751862 257839.7286096654),10467,Larceny,False,True,10467,2.0,97060.0,41649.0,2.33,0.0,369500.0,36048.0
3251,M,40.804008,41,25-44,PL 2052002,B,-73.878333,OFFENSES AGAINST PUBLIC ADMINI,BLACK,M,POINT (1017933.2840112888 232222.21200212266),10474,Miscellaneous,False,False,10474,2.0,12281.0,8010.0,1.53,0.0,351800.0,25676.0
3252,M,40.680077,113,25-44,PL 1252501,Q,-73.775929,MURDER & NON-NEGL. MANSLAUGHTE,BLACK,F,POINT (1046399.0917064565 187126.2944458713),11434,,False,True,11434,2.0,59129.0,18256.0,3.24,0.07,371900.0,59229.0
3253,M,40.84078683,44,25-44,VTL051101A,B,-73.92319708,OTHER TRAFFIC INFRACTION,BLACK HISPANIC,M,POINT (1005501.0018790927 245607.9988645926),10452,,False,False,10452,0.9090909090909091,75371.0,76548.0,0.98,0.0,402800.0,25979.0
3254,M,40.684924,79,25-44,PL 1200001,K,-73.948805,ASSAULT 3 & RELATED OFFENSES,WHITE HISPANIC,M,POINT (998448.6012667366 188816.858130391),11216,Assault,True,False,11216,1.0,54316.0,58065.0,0.94,0.0,623300.0,43996.0
3255,M,40.764632,114,25-44,PL 1701002,Q,-73.940831,FORGERY,WHITE,F,POINT (1000640.5225344289 217858.33687540836),10044,Miscellaneous,False,True,10044,2.0,11661.0,48251.0,0.24,0.0,580400.0,83066.0
3256,M,40.628508,63,45-64,PL 1200501,K,-73.941384,FELONY ASSAULT,BLACK,F,POINT (1000520.5209336526 168264.23367533574),11210,Assault,False,True,11210,1.0,62008.0,37785.0,1.64,0.0,485500.0,55429.0
3257,M,40.585621,60,25-44,PL 1552500,K,-73.966393,PETIT LARCENY,BLACK,M,POINT (993584.5639366708 152635.736478571),11235,Larceny,False,False,11235,1.0,79132.0,35237.0,2.25,0.19,531000.0,41639.0
3258,M,40.595141,101,25-44,PL 1600500,Q,-73.764515,ROBBERY,BLACK,F,POINT (1049648.097001415 156190.2264501039),11691,Robbery,False,True,11691,2.0,60035.0,21185.0,2.83,0.03,448200.0,39409.0
3259,M,40.883111,50,18-24,PL 1051700,B,-73.90332,MISCELLANEOUS PENAL LAW,WHITE HISPANIC,F,POINT (1010983.8739321159 261033.7716425928),10463,Miscellaneous,False,True,10463,2.0,67970.0,47002.0,1.45,0.13,289700.0,54258.0
3260,M,40.828745,43,25-44,PL 2155006,B,-73.866592,OFFENSES AGAINST PUBLIC ADMINI,BLACK,M,POINT (1021170.0298666761 241239.51202066796),10472,Miscellaneous,False,False,10472,1.0,66358.0,63167.0,1.05,0.0,429600.0,30288.0
3261,M,40.81322,41,45-64,PL 265031B,B,-73.887103,DANGEROUS WEAPONS,WHITE HISPANIC,F,POINT (1015501.0015125637 235575.2168178502),10474,Weapons,True,True,10474,2.0,12281.0,8010.0,1.53,0.0,351800.0,25676.0
3262,M,40.66975392,78,25-44,PL 1211200,K,-73.98921799,FELONY ASSAULT,BLACK,F,POINT (987241.0010028554 183285.99744758382),11215,Assault,False,True,11215,1.0,63488.0,29148.0,2.18,0.02,913200.0,95654.0
3263,F,40.835236,42,25-44,PL 1600500,B,-73.907962,ROBBERY,BLACK,F,POINT (1009718.5993721031 243589.6884706353),10456,Robbery,False,True,10456,1.0,86547.0,84979.0,1.02,0.0,388600.0,23452.0
3264,M,40.816057,41,25-44,PL 1200001,B,-73.895785,ASSAULT 3 & RELATED OFFENSES,WHITE HISPANIC,M,POINT (1013096.5098803142 236605.85854692367),10455,Assault,False,False,10455,0.9090909090909091,39665.0,55696.0,0.71,0.0,318600.0,22609.0
3265,M,40.822734,44,25-44,PL 1450001,B,-73.919347,CRIMINAL MISCHIEF & RELATED OF,WHITE HISPANIC,M,POINT (1006572.3562668543 239031.64768618764),10451,,False,False,10451,1.0,45713.0,45043.0,1.01,0.0,170600.0,26754.0
3266,M,40.84023133,48,18-24,PL 1702000,B,-73.8801001,OFFENSES INVOLVING FRAUD,BLACK HISPANIC,M,POINT (1017426.0017357399 245418.9983373451),10460,Fraud,True,False,10460,1.0,57311.0,43567.0,1.32,0.0,391700.0,22307.0
3267,F,40.704031,1,18-24,PL 1201001,M,-74.012382,FELONY ASSAULT,BLACK,F,POINT (980816.9163914773 195774.19513660707),10005,Assault,True,True,10005,0.5113636363636364,7135.0,97048.0,0.07,0.0,1000001.0,124670.0
3268,M,40.664154,71,25-44,PL 1200001,K,-73.946814,ASSAULT 3 & RELATED OFFENSES,BLACK,M,POINT (999005.3866224199 181250.08376903494),11225,Assault,False,False,11225,1.0,56829.0,64295.0,0.88,0.0,615700.0,42922.0
3269,M,40.620035,63,25-44,PL 1950500,K,-73.928948,OFFENSES AGAINST PUBLIC ADMINI,BLACK,M,POINT (1003974.9860181387 165179.85103791245),11234,Miscellaneous,False,False,11234,4.0,87757.0,11627.0,7.55,0.83,488200.0,68431.0
3270,M,40.688736,79,25-44,PL 265031B,K,-73.944984,DANGEROUS WEAPONS,BLACK,F,POINT (999507.458445384 190206.3229697785),11216,Weapons,False,True,11216,1.0,54316.0,58065.0,0.94,0.0,623300.0,43996.0
3271,M,40.887325,47,25-44,PL 215510B,B,-73.847247,MISCELLANEOUS PENAL LAW,WHITE HISPANIC,F,POINT (1026486.4435302423 262591.1749165131),10466,Miscellaneous,False,True,10466,2.0,67813.0,33601.0,2.02,0.0,391300.0,44012.0
3272,M,40.659495,71,25-44,VTL05110MU,K,-73.949047,VEHICLE AND TRAFFIC LAWS,BLACK,M,POINT (998386.8730640564 179552.31149496874),11225,Motor Vehicle,False,False,11225,1.0,56829.0,64295.0,0.88,0.0,615700.0,42922.0
3273,M,40.701431,103,25-44,PL 1450502,Q,-73.784386,CRIMINAL MISCHIEF & RELATED OF,BLACK,F,POINT (1044034.2847736242 194900.27214537864),11433,,False,True,11433,1.0,32687.0,21062.0,1.55,0.0,379700.0,42887.0
3274,M,40.638659,68,18-24,PL 1200001,K,-74.022462,ASSAULT 3 & RELATED OFFENSES,WHITE,M,POINT (978015.9874889271 171957.87136246212),11220,Assault,False,False,11220,1.0,99598.0,55603.0,1.79,0.0,615300.0,37580.0
3275,M,40.864717,52,25-44,PL 2200300,B,-73.890683,DANGEROUS DRUGS,BLACK,M,POINT (1014486.608388783 254336.22403176938),10458,Drugs,False,False,10458,2.0,79492.0,78784.0,1.01,0.0,330300.0,24618.0
3276,M,40.753455,14,25-44,PL 1902300,M,-73.994398,FRAUDS,BLACK,M,POINT (985802.0817152901 213780.70437613162),10098,Fraud,False,False,10098,,,,,,,
3277,M,40.755042,115,25-44,PL 2155001,Q,-73.86049,OFFENSES AGAINST PUBLIC ADMINI,WHITE HISPANIC,M,POINT (1022901.4941272371 214389.62910171264),11369,Miscellaneous,False,False,11369,1.0,38615.0,36170.0,1.07,0.0,464500.0,53617.0
3278,M,40.752999,114,18-24,AM 0353A00,Q,-73.923895,NYS LAWS-UNCLASSIFIED FELONY,BLACK,F,POINT (1005335.6788205538 213623.67886270594),11106,Miscellaneous,False,True,11106,1.0,38875.0,45359.0,0.86,0.01,433600.0,48720.0
3279,M,40.753293,109,18-24,PL 1601502,Q,-73.8129,ROBBERY,ASIAN / PACIFIC ISLANDER,F,POINT (1036087.7319786747 213776.9933447807),11355,Robbery,False,True,11355,1.0,85871.0,49492.0,1.74,0.0,507500.0,41884.0
3280,M,40.86985,50,25-44,PL 1456002,B,-73.899302,CRIMINAL MISCHIEF & RELATED OF,WHITE HISPANIC,M,POINT (1012100.4815946771 256203.51763358625),10468,,True,False,10468,1.0,76103.0,70778.0,1.08,0.02,171200.0,33776.0
3281,M,40.681977,78,45-64,PL 1402000,K,-73.976215,BURGLARY,WHITE,F,POINT (990846.9073385937 187739.927153492),11217,Burglary,False,True,11217,0.9090909090909091,35881.0,47796.0,0.75,0.0,857000.0,81862.0
3282,M,40.706283,90,25-44,PL 1553001,K,-73.950348,GRAND LARCENY,WHITE HISPANIC,F,POINT (998016.2494256623 196598.32512343748),11211,Larceny,False,True,11211,2.0,90117.0,39209.0,2.3,0.07,655500.0,46848.0
3283,M,40.85766491,48,25-44,PL 1702000,B,-73.89325982,OFFENSES INVOLVING FRAUD,BLACK,M,POINT (1013777.0023406129 251765.99757274947),10458,Fraud,True,False,10458,2.0,79492.0,78784.0,1.01,0.0,330300.0,24618.0
3284,F,40.880387,50,25-44,PL 1200001,B,-73.899278,ASSAULT 3 & RELATED OFFENSES,WHITE HISPANIC,M,POINT (1012102.7051222555 260042.56933405905),10463,Assault,False,False,10463,2.0,67970.0,47002.0,1.45,0.13,289700.0,54258.0
3285,M,40.696979,88,25-44,PL 1200512,K,-73.970602,FELONY ASSAULT,WHITE HISPANIC,F,POINT (992401.8710040993 193206.0669129379),11205,Assault,False,True,11205,1.0,40366.0,42508.0,0.95,0.0,636900.0,44688.0
3286,M,40.66936911,75,25-44,VTL0511001,K,-73.89522298,VEHICLE AND TRAFFIC LAWS,BLACK,M,POINT (1013316.0003122693 183162.99942379806),11207,Motor Vehicle,False,False,11207,2.0,93386.0,34965.0,2.67,0.0,403800.0,32945.0
3287,M,40.747586,14,25-44,PL 1553001,M,-73.989392,GRAND LARCENY,BLACK,F,POINT (987189.2955029878 211642.56679278522),10098,Larceny,True,True,10098,,,,,,,
3288,M,40.883111,50,18-24,PL 1051300,B,-73.90332,MISCELLANEOUS PENAL LAW,WHITE HISPANIC,F,POINT (1010983.8739321159 261033.7716425928),10463,Miscellaneous,False,True,10463,2.0,67970.0,47002.0,1.45,0.13,289700.0,54258.0
3289,M,40.87900691,52,<18,PL 1654000,B,-73.87601262,POSSESSION OF STOLEN PROPERTY,BLACK,M,POINT (1018537.0001232536 259547.99984947033),10467,Miscellaneous,False,False,10467,2.0,97060.0,41649.0,2.33,0.0,369500.0,36048.0
3290,M,40.860745,48,25-44,PL 1552500,B,-73.889581,PETIT LARCENY,WHITE,M,POINT (1014793.2408330559 252889.45372464674),10458,Larceny,True,False,10458,2.0,79492.0,78784.0,1.01,0.0,330300.0,24618.0
3291,F,40.664154,71,18-24,PL 2201601,K,-73.946814,DANGEROUS DRUGS,BLACK,F,POINT (999005.3866224199 181250.08376903494),11225,Drugs,False,True,11225,1.0,56829.0,64295.0,0.88,0.0,615700.0,42922.0
3292,M,40.78826901,109,18-24,PL 1702500,Q,-73.81612669,FORGERY,WHITE HISPANIC,F,POINT (1035167.0015572545 226517.99847602274),11357,Miscellaneous,False,True,11357,1.0,39150.0,13973.0,2.8,0.0,590800.0,71978.0
3293,M,40.758225,18,25-44,PL 1553501,M,-73.977428,GRAND LARCENY,BLACK,F,POINT (990503.3165779031 215519.32655155932),10020,Larceny,False,True,10020,0.22727272727272727,,,,,,
3294,M,40.838643,42,18-24,PL 1553008,B,-73.904162,GRAND LARCENY OF MOTOR VEHICLE,BLACK,F,POINT (1010768.7704481985 244832.1121384136),10456,Larceny,True,True,10456,1.0,86547.0,84979.0,1.02,0.0,388600.0,23452.0
3295,M,40.580998,60,25-44,PL 1552500,K,-73.959873,PETIT LARCENY,WHITE HISPANIC,M,POINT (995396.3079824514 150952.22418747586),11235,Larceny,False,False,11235,1.0,79132.0,35237.0,2.25,0.19,531000.0,41639.0
3296,M,40.756039,14,<18,PL 140200H,M,-73.984865,BURGLARY,UNKNOWN,F,POINT (988443.1177142513 214722.4520761786),10020,Burglary,True,True,10020,0.22727272727272727,,,,,,
3297,M,40.80505732,25,45-64,PL 2200300,M,-73.93903422,DANGEROUS DRUGS,BLACK HISPANIC,M,POINT (1001128.0014677814 232586.99763115804),10037,Drugs,False,False,10037,0.625,17416.0,65973.0,0.26,0.0,260200.0,37341.0
3298,M,40.680077,113,25-44,PL 1201401,Q,-73.775929,ASSAULT 3 & RELATED OFFENSES,BLACK,M,POINT (1046399.0917064565 187126.2944458713),11434,Assault,False,False,11434,2.0,59129.0,18256.0,3.24,0.07,371900.0,59229.0
3299,M,40.707439,103,25-44,PL 265031B,Q,-73.792139,DANGEROUS WEAPONS,BLACK,F,POINT (1041879.384878996 197083.96409186083),11433,Weapons,False,True,11433,1.0,32687.0,21062.0,1.55,0.0,379700.0,42887.0
3300,M,40.671404,75,18-24,PL 1450001,K,-73.881509,CRIMINAL MISCHIEF & RELATED OF,BLACK,M,POINT (1017119.3652486769 183909.21526397995),11207,,False,False,11207,2.0,93386.0,34965.0,2.67,0.0,403800.0,32945.0
3301,M,40.8874462,52,25-44,PL 1701004,B,-73.87800049,FORGERY,BLACK,F,POINT (1017983.0001123428 262621.99731133133),10470,Miscellaneous,False,True,10470,1.0,15293.0,10734.0,1.42,0.0,401200.0,58600.0
3302,M,40.869067,52,25-44,PL 1201500,B,-73.8806,ASSAULT 3 & RELATED OFFENSES,WHITE HISPANIC,M,POINT (1017273.3605579195 255924.738504131),10467,Assault,False,False,10467,2.0,97060.0,41649.0,2.33,0.0,369500.0,36048.0
3303,M,40.800896,25,18-24,PL 1211100,M,-73.941011,ASSAULT 3 & RELATED OFFENSES,BLACK,M,POINT (1000581.7631287137 231070.50816667182),10026,Assault,False,False,10026,0.6818181818181818,34003.0,102315.0,0.33,0.0,602400.0,43107.0
3304,M,40.774007,19,25-44,PL 1654501,M,-73.961708,POSSESSION OF STOLEN PROPERTY,WHITE HISPANIC,F,POINT (994855.8505573329 221270.7435329924),10021,Miscellaneous,False,True,10021,0.9090909090909091,43631.0,112711.0,0.39,0.0,1000001.0,107907.0
3305,M,40.693175,113,25-44,PL 215510B,Q,-73.763103,MISCELLANEOUS PENAL LAW,BLACK,F,POINT (1049943.6407995664 191907.6201930251),11412,Miscellaneous,False,True,11412,1.0,34882.0,21186.0,1.65,0.0,385700.0,70672.0
3306,M,40.823378,43,45-64,PL 1600500,B,-73.870168,ROBBERY,BLACK,F,POINT (1020183.2877802552 239282.63311857087),10472,Robbery,False,True,10472,1.0,66358.0,63167.0,1.05,0.0,429600.0,30288.0
3307,M,40.681977,78,45-64,PL 1402000,K,-73.976215,BURGLARY,WHITE,F,POINT (990846.9073385937 187739.927153492),11217,Burglary,False,True,11217,0.9090909090909091,35881.0,47796.0,0.75,0.0,857000.0,81862.0
3308,M,40.706283,90,25-44,PL 1552500,K,-73.950348,PETIT LARCENY,WHITE HISPANIC,M,POINT (998016.2494256623 196598.32512343748),11211,Larceny,False,False,11211,2.0,90117.0,39209.0,2.3,0.07,655500.0,46848.0
3309,F,40.76889099,18,18-24,PL 1651503,M,-73.98209349,OTHER OFFENSES RELATED TO THEF,BLACK,M,POINT (989210.0011467689 219404.99926561915),10019,,False,False,10019,0.9090909090909091,42870.0,63042.0,0.68,0.0,808600.0,84424.0
3310,M,40.595465,101,18-24,PL 1211200,Q,-73.762038,FELONY ASSAULT,BLACK,F,POINT (1050335.6787078038 156310.12645866504),11691,Assault,True,True,11691,2.0,60035.0,21185.0,2.83,0.03,448200.0,39409.0
3311,F,40.69940498,79,25-44,VTL11920U3,K,-73.95336898,INTOXICATED & IMPAIRED DRIVING,WHITE,M,POINT (997180.0026206423 194091.99701074368),11206,,False,False,11206,1.0,81677.0,56939.0,1.43,0.0,533400.0,28559.0
3312,F,40.752999,114,18-24,AM 0353A01,Q,-73.923895,NYS LAWS-UNCLASSIFIED FELONY,BLACK,F,POINT (1005335.6788205538 213623.67886270594),11106,Miscellaneous,False,True,11106,1.0,38875.0,45359.0,0.86,0.01,433600.0,48720.0
3313,M,40.85836868,52,45-64,PL 1702000,B,-73.90390861,OFFENSES INVOLVING FRAUD,BLACK,M,POINT (1010831.0007749381 252018.997517619),10457,Fraud,True,False,10457,1.0,70496.0,66425.0,1.06,0.0,397500.0,24949.0
3314,M,40.77949772,19,25-44,PL 121110A,M,-73.95558406,ASSAULT 3 & RELATED OFFENSES,WHITE HISPANIC,M,POINT (996551.0022013795 223271.99809688656),10028,Assault,False,False,10028,0.8522727272727273,45141.0,143683.0,0.31,0.0,1000001.0,104638.0
3315,M,40.756585,115,<18,PL 1601504,Q,-73.875603,ROBBERY,WHITE HISPANIC,F,POINT (1018713.6151978475 214945.48633263793),11369,Robbery,True,True,11369,1.0,38615.0,36170.0,1.07,0.0,464500.0,53617.0
3316,M,40.87900691,52,<18,PL 1654000,B,-73.87601262,POSSESSION OF STOLEN PROPERTY,WHITE HISPANIC,M,POINT (1018537.0001232536 259547.99984947033),10467,Miscellaneous,False,False,10467,2.0,97060.0,41649.0,2.33,0.0,369500.0,36048.0
3317,F,40.69305,81,18-24,PL 1200001,K,-73.940044,ASSAULT 3 & RELATED OFFENSES,BLACK,M,POINT (1000876.3811091806 191778.93834698875),11206,Assault,True,False,11206,1.0,81677.0,56939.0,1.43,0.0,533400.0,28559.0
3318,M,40.625717,66,45-64,PL 1200501,K,-73.991048,FELONY ASSAULT,ASIAN / PACIFIC ISLANDER,F,POINT (986734.9837096824 167242.0812990644),11219,Assault,False,True,11219,1.0,92221.0,62225.0,1.48,0.0,726700.0,34316.0
3319,M,40.691663,81,25-44,VTL0511001,K,-73.9293,VEHICLE AND TRAFFIC LAWS,BLACK,M,POINT (1003856.203909316 191275.83563388558),11221,Motor Vehicle,False,False,11221,1.0,78895.0,57033.0,1.38,0.0,543800.0,39178.0
3320,M,40.69843,102,25-44,PL 215510B,Q,-73.831128,MISCELLANEOUS PENAL LAW,ASIAN / PACIFIC ISLANDER,F,POINT (1031076.0416696693 193778.47749416454),11418,Miscellaneous,True,True,11418,1.0,36256.0,22201.0,1.63,0.0,427000.0,60691.0
3321,M,40.720528,1,25-44,PL 1553001,M,-74.007582,GRAND LARCENY,WHITE HISPANIC,F,POINT (982148.3041098982 201784.40079175794),10013,Larceny,False,True,10013,1.0,27700.0,50154.0,0.55,0.0,1000001.0,83725.0
3322,M,40.756585,115,25-44,PL 1601501,Q,-73.875603,ROBBERY,BLACK HISPANIC,F,POINT (1018713.6151978475 214945.48633263793),11369,Robbery,True,True,11369,1.0,38615.0,36170.0,1.07,0.0,464500.0,53617.0
3323,M,40.7650240788333,18,18-24,PL 1553005,M,-73.9848359497083,GRAND LARCENY,BLACK,F,POINT (988450.5993429162 217996.0120936827),10020,Larceny,False,True,10020,0.22727272727272727,,,,,,
3324,M,40.822355,42,18-24,PL 1252501,B,-73.911463,MURDER & NON-NEGL. MANSLAUGHTE,BLACK,F,POINT (1008754.5522901915 238895.67157089233),10456,,False,True,10456,1.0,86547.0,84979.0,1.02,0.0,388600.0,23452.0
3325,M,40.769552,114,25-44,PL 1450502,Q,-73.915361,CRIMINAL MISCHIEF & RELATED OF,BLACK HISPANIC,F,POINT (1007694.2841127955 219656.6464986371),11103,,False,True,11103,0.8522727272727273,38780.0,54537.0,0.71,0.0,648900.0,55129.0
3326,M,40.816667,43,25-44,PL 21551B5,B,-73.866749,MISCELLANEOUS PENAL LAW,WHITE HISPANIC,F,POINT (1021133.2747686508 236838.99704240405),10473,Miscellaneous,False,True,10473,2.0,58519.0,26846.0,2.18,0.01,386600.0,35866.0
3327,F,40.87144091,47,45-64,PL 1651601,B,-73.86715728,THEFT OF SERVICES,BLACK,M,POINT (1020990.0008887621 256794.9992848984),10467,Miscellaneous,False,False,10467,2.0,97060.0,41649.0,2.33,0.0,369500.0,36048.0
3328,M,40.804008,41,45-64,PL 1200507,B,-73.878333,FELONY ASSAULT,BLACK,F,POINT (1017933.2840112888 232222.21200212266),10474,Assault,False,True,10474,2.0,12281.0,8010.0,1.53,0.0,351800.0,25676.0
3329,M,40.825832,43,25-44,PL 1552500,B,-73.857802,PETIT LARCENY,BLACK,M,POINT (1023604.341359062 240182.02775860394),10473,Larceny,False,False,10473,2.0,58519.0,26846.0,2.18,0.01,386600.0,35866.0
3330,M,40.837774,44,25-44,PL 1200001,B,-73.919455,ASSAULT 3 & RELATED OFFENSES,BLACK HISPANIC,M,POINT (1006537.4266075917 244511.2428519166),10452,Assault,False,False,10452,0.9090909090909091,75371.0,76548.0,0.98,0.0,402800.0,25979.0
3331,F,40.75219043,14,25-44,PL 2200300,M,-73.99346359,DANGEROUS DRUGS,WHITE,M,POINT (986061.0023262474 213319.99853868573),10098,Drugs,False,False,10098,,,,,,,
3332,M,40.703379,103,25-44,PL 1200001,Q,-73.787338,ASSAULT 3 & RELATED OFFENSES,BLACK HISPANIC,M,POINT (1043214.0487948423 195607.98368512458),11433,Assault,False,False,11433,1.0,32687.0,21062.0,1.55,0.0,379700.0,42887.0
3333,M,40.87367189,52,25-44,PL 1452000,B,-73.87922984,CRIMINAL MISCHIEF & RELATED OF,BLACK HISPANIC,F,POINT (1017650.0027270848 257602.999157267),10467,,False,True,10467,2.0,97060.0,41649.0,2.33,0.0,369500.0,36048.0
3334,M,40.707291,103,25-44,PL 1211100,Q,-73.800523,ASSAULT 3 & RELATED OFFENSES,BLACK,M,POINT (1039555.0508909555 197024.63886277654),11435,Assault,False,False,11435,2.0,53687.0,35447.0,1.51,0.0,338100.0,53041.0
3335,M,40.883111,50,25-44,PL 2201601,B,-73.90332,DANGEROUS DRUGS,BLACK HISPANIC,F,POINT (1010983.8739321159 261033.7716425928),10463,Drugs,False,True,10463,2.0,67970.0,47002.0,1.45,0.13,289700.0,54258.0
3336,M,40.75285463,14,45-64,PL 2200300,M,-73.99297988,DANGEROUS DRUGS,BLACK,M,POINT (986195.0014436793 213561.99845299116),10098,Drugs,False,False,10098,,,,,,,
3337,M,40.6799807384666,113,18-24,PL 1552500,Q,-73.7762339071953,PETIT LARCENY,WHITE,M,POINT (1046314.6113858065 187091.00752817767),11434,Larceny,False,False,11434,2.0,59129.0,18256.0,3.24,0.07,371900.0,59229.0
3338,M,40.637262,70,45-64,PL 1200001,K,-73.951037,ASSAULT 3 & RELATED OFFENSES,BLACK,M,POINT (997839.2766548825 171451.90510043153),11210,Assault,False,False,11210,1.0,62008.0,37785.0,1.64,0.0,485500.0,55429.0
3339,M,40.595465,101,18-24,PL 121120H,Q,-73.762038,FELONY ASSAULT,BLACK,F,POINT (1050335.6787078038 156310.12645866504),11691,Assault,True,True,11691,2.0,60035.0,21185.0,2.83,0.03,448200.0,39409.0
3340,M,40.792948,114,18-24,FOA9000049,Q,-73.884165,FOR OTHER AUTHORITIES,BLACK,,POINT (1016324.0350608879 228190.4829583319),10474,,False,False,10474,2.0,12281.0,8010.0,1.53,0.0,351800.0,25676.0
3341,M,40.823378,43,25-44,PL 215510B,B,-73.870168,MISCELLANEOUS PENAL LAW,WHITE,F,POINT (1020183.2877802552 239282.63311857087),10472,Miscellaneous,False,True,10472,1.0,66358.0,63167.0,1.05,0.0,429600.0,30288.0
3342,M,40.69843,102,25-44,PL 215510B,Q,-73.831128,MISCELLANEOUS PENAL LAW,BLACK HISPANIC,F,POINT (1031076.0416696693 193778.47749416454),11418,Miscellaneous,True,True,11418,1.0,36256.0,22201.0,1.63,0.0,427000.0,60691.0
3343,F,40.747586,14,25-44,PL 1552500,M,-73.989392,PETIT LARCENY,BLACK,M,POINT (987189.2955029878 211642.56679278522),10098,Larceny,True,False,10098,,,,,,,
3344,M,40.63026,66,25-44,PL 1201500,K,-74.002452,ASSAULT 3 & RELATED OFFENSES,ASIAN / PACIFIC ISLANDER,M,POINT (983569.3961887418 168897.09986573874),11219,Assault,False,False,11219,1.0,92221.0,62225.0,1.48,0.0,726700.0,34316.0
3345,M,40.595141,101,25-44,PL 1600500,Q,-73.764515,ROBBERY,BLACK,F,POINT (1049648.097001415 156190.2264501039),11691,Robbery,False,True,11691,2.0,60035.0,21185.0,2.83,0.03,448200.0,39409.0
3346,M,40.752435,115,18-24,PL 2200603,Q,-73.871317,DANGEROUS DRUGS,WHITE HISPANIC,F,POINT (1019903.2520365817 213435.2235919898),11372,Drugs,False,True,11372,0.9090909090909091,66636.0,90360.0,0.74,0.0,265500.0,48683.0
3347,M,40.86937,52,25-44,PL 1200001,B,-73.880047,ASSAULT 3 & RELATED OFFENSES,BLACK HISPANIC,M,POINT (1017426.1566814876 256035.34214731763),10467,Assault,True,False,10467,2.0,97060.0,41649.0,2.33,0.0,369500.0,36048.0
3348,M,40.7824518600123,22,25-44,PL 1306501,M,-73.9658782689495,SEX CRIMES,ASIAN / PACIFIC ISLANDER,F,POINT (993699.600184763 224347.01326550098),10023,Sex Crimes,False,True,10023,0.7386363636363636,60998.0,124357.0,0.49,0.0,872500.0,103534.0
3349,M,40.875161,50,25-44,PL 1200001,B,-73.909056,ASSAULT 3 & RELATED OFFENSES,WHITE HISPANIC,M,POINT (1009400.7676929695 258135.57243917166),10463,Assault,False,False,10463,2.0,67970.0,47002.0,1.45,0.13,289700.0,54258.0
3350,M,40.664154,71,45-64,PL 265031B,K,-73.946814,DANGEROUS WEAPONS,BLACK,F,POINT (999005.3866224199 181250.08376903494),11225,Weapons,False,True,11225,1.0,56829.0,64295.0,0.88,0.0,615700.0,42922.0
3351,M,40.746198,14,45-64,PL 1200501,M,-73.985147,FELONY ASSAULT,BLACK,F,POINT (988365.5981891192 211137.04485051305),10098,Assault,False,True,10098,,,,,,,
3352,F,40.6799807384666,113,25-44,PL 2650101,Q,-73.7762339071953,DANGEROUS WEAPONS,BLACK,M,POINT (1046314.6113858065 187091.00752817767),11434,Weapons,False,False,11434,2.0,59129.0,18256.0,3.24,0.07,371900.0,59229.0
